ptid,p1,p2,p3,p4,p5,p6,p7,p8,p9
628,0.04331666412765032,0.044450414418968416,0.22528322728830938,0.30272306067033944,0.10871027826318574,0.07271867500271992,0.09823374889697799,0.05248574939819393,0.0520781819336548
631,0.0068928128462777995,0.9374953257440831,0.018745898101094987,0.03296148766993876,0.0038060631276856435,1.1246902002200435e-07,1.3564197711642218e-07,9.816439949864007e-05,4.2464573964528093e-13
662,3.1199556532677607e-16,8.714950619018887e-09,0.00013797012197544175,1.573742432645079e-05,0.0042724607527616235,0.9088441756558524,0.07622844430215957,0.0008137375577344545,0.009687465470231096
663,2.207284128662203e-10,6.891356922749303e-05,0.011074707454224432,0.07236503633212023,0.04714216647464568,0.02675711178560254,0.043594962500449135,0.7987707391303923,0.0002263625326101886
667,0.008941796251401922,0.907178465948308,0.04515794173724306,0.03678289972543104,0.0019207364493801793,1.7585435440167202e-05,3.159269098748562e-07,2.585258739273238e-07,1.3415582305419313e-14
670,6.695009357231412e-07,0.03887404599530887,0.3077873857090938,0.04596435799471008,0.593586108286619,0.0023118332088455157,0.005807113392868103,0.005667530885051616,9.5502656736499e-07
671,0.04888483922229065,0.021960180872330783,0.15820131525543843,0.13884848307307227,0.36736605771761305,0.04847016673021758,0.10913928860204034,0.06109353796009427,0.04603613056690247
688,2.1824824804108566e-27,4.3557371214070083e-17,1.8406274149707567e-12,3.1201146914365454e-14,8.068672169528584e-09,8.735452988590528e-06,0.00013820099733880526,2.79975170299938e-05,0.9998250579621034
690,1.5057220724196557e-15,7.282933304567844e-08,0.0001103069437513845,0.0003121127153615355,0.02560693246477789,0.028597981449664488,0.43968466573985465,0.4820552654947656,0.023632662362491275
702,4.773307922673207e-07,0.004634350197985447,0.7720984492425168,0.08339862209678402,0.08429714658649991,0.007118749332655146,0.008785963746485466,0.0396602786565295,5.9628097516600235e-06
703,0.04097708898904232,0.2578478300298017,0.10502526953937807,0.5857638789604184,0.010256830100296052,0.00010655558498946924,8.47789356925366e-06,1.406885486304782e-05,4.76423862921006e-11
712,0.035687250813276915,0.06871462038662814,0.04137315520116092,0.390834466301947,0.08131465740665011,0.0785651180634898,0.09035063412380068,0.12144653084825602,0.09171356685479072
